locus_tag	ftype	length_bp	gene	EC_number	COG	product
COOAFFBM_02229	CDS	1221	nagC		COG1940	N-acetylglucosamine repressor
COOAFFBM_02230	CDS	753	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
COOAFFBM_02231	CDS	1665	asnB	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
COOAFFBM_02232	tRNA	77				tRNA-Met(cat)
COOAFFBM_02233	tRNA	85				tRNA-Leu(tag)
COOAFFBM_02234	tRNA	75				tRNA-Gln(ttg)
COOAFFBM_02235	tRNA	75				tRNA-Gln(ttg)
COOAFFBM_02236	tRNA	77				tRNA-Met(cat)
COOAFFBM_02237	tRNA	75				tRNA-Gln(ctg)
COOAFFBM_02238	tRNA	75				tRNA-Gln(ctg)
COOAFFBM_02239	CDS	1176	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
COOAFFBM_02240	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
COOAFFBM_02241	CDS	1080	ybeZ		COG1702	PhoH-like protein
COOAFFBM_02242	CDS	468	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
COOAFFBM_02243	CDS	879	corC		COG4535	Magnesium and cobalt efflux protein CorC
COOAFFBM_02244	CDS	1539	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
COOAFFBM_02245	CDS	786				hypothetical protein
COOAFFBM_02246	CDS	1077	glpG_2	3.4.21.105		Rhomboid protease GlpG
COOAFFBM_02247	CDS	909	gltI		COG0834	Glutamate/aspartate import solute-binding protein
COOAFFBM_02248	CDS	741	gltJ		COG0765	Glutamate/aspartate import permease protein GltJ
COOAFFBM_02249	CDS	675	gltK		COG0765	Glutamate/aspartate import permease protein GltK
COOAFFBM_02250	CDS	726	glnQ_2			Glutamine transport ATP-binding protein GlnQ
COOAFFBM_02251	CDS	936	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
COOAFFBM_02252	CDS	1671	hscC		COG0443	Chaperone protein HscC
COOAFFBM_02253	CDS	1452				hypothetical protein
COOAFFBM_02254	CDS	708				hypothetical protein
COOAFFBM_02255	CDS	555	ybeT		COG0790	Sel1-repeat-containing protein YbeT
COOAFFBM_02256	CDS	1428				hypothetical protein
COOAFFBM_02257	CDS	708				hypothetical protein
COOAFFBM_02258	CDS	978	esiB			Secretory immunoglobulin A-binding protein EsiB
COOAFFBM_02259	CDS	483				hypothetical protein
COOAFFBM_02260	CDS	2583	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
COOAFFBM_02261	CDS	582	lptE		COG2980	LPS-assembly lipoprotein LptE
COOAFFBM_02262	CDS	1032	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
COOAFFBM_02263	CDS	642	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
COOAFFBM_02264	CDS	612	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
COOAFFBM_02265	CDS	318	rsfS		COG0799	Ribosomal silencing factor RsfS
COOAFFBM_02266	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
COOAFFBM_02267	CDS	1902	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
COOAFFBM_02268	CDS	1113	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
COOAFFBM_02269	CDS	1089	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
COOAFFBM_02270	CDS	1284	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
COOAFFBM_02271	CDS	264				hypothetical protein
COOAFFBM_02272	CDS	642	lipB	2.3.1.181	COG0321	Octanoyltransferase
COOAFFBM_02273	CDS	954	ybdO_1			putative HTH-type transcriptional regulator YbdO
COOAFFBM_02274	CDS	966	lipA	2.8.1.8	COG0320	Lipoyl synthase
COOAFFBM_02275	CDS	204	tatE		COG1826	Sec-independent protein translocase protein TatE
COOAFFBM_02276	CDS	789	ybeM	3.5.1.128		Deaminated glutathione amidase
COOAFFBM_02277	CDS	384	crcB		COG0239	Putative fluoride ion transporter CrcB
COOAFFBM_02278	CDS	210	cspE			Cold shock-like protein CspE
COOAFFBM_02279	CDS	561	pagP	2.3.1.251		Lipid A palmitoyltransferase PagP
COOAFFBM_02280	CDS	1386	dcuD_2		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
COOAFFBM_02281	CDS	681	dpiA		COG4565	Transcriptional regulatory protein DpiA
COOAFFBM_02282	CDS	1659	dpiB	2.7.13.3	COG3290	Sensor histidine kinase DpiB
COOAFFBM_02283	CDS	1059	citC	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
COOAFFBM_02284	CDS	297	citD		COG3052	Citrate lyase acyl carrier protein
COOAFFBM_02285	CDS	909	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
COOAFFBM_02286	CDS	1533	citF	4.1.3.6	COG3051	Citrate lyase alpha chain
COOAFFBM_02287	CDS	552	citX	2.7.7.61	COG3697	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
COOAFFBM_02288	CDS	879	citG	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
COOAFFBM_02289	CDS	1464	ttdT_1		COG0471	L-tartrate/succinate antiporter
COOAFFBM_02290	CDS	807	rna	4.6.1.21	COG3719	Ribonuclease I
COOAFFBM_02291	CDS	411	rnk		COG0782	Regulator of nucleoside diphosphate kinase
COOAFFBM_02292	CDS	90	yldA			Protein YldA
COOAFFBM_02293	CDS	1239		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
COOAFFBM_02294	CDS	429	uspG		COG0589	Universal stress protein UP12
COOAFFBM_02295	CDS	1596	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
COOAFFBM_02296	CDS	564	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
COOAFFBM_02297	CDS	747	dsbG		COG1651	Thiol:disulfide interchange protein DsbG
COOAFFBM_02298	CDS	903	ybdO_2			putative HTH-type transcriptional regulator YbdO
COOAFFBM_02299	CDS	1221				hypothetical protein
COOAFFBM_02300	CDS	630	ybdM		COG1475	putative protein YbdM
COOAFFBM_02301	CDS	1161	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
COOAFFBM_02302	CDS	1089	hcxA	1.1.1.-	COG0371	Hydroxycarboxylate dehydrogenase A
COOAFFBM_02303	CDS	198				hypothetical protein
COOAFFBM_02304	CDS	2106	cstA		COG1966	Peptide transporter CstA
COOAFFBM_02305	CDS	414	entH	3.1.2.-	COG2050	Proofreading thioesterase EntH
COOAFFBM_02306	CDS	747	entA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
COOAFFBM_02307	CDS	858	entB	6.3.2.14	COG1535	Enterobactin synthase component B
COOAFFBM_02308	CDS	1611	entE	6.3.2.14	COG1021	Enterobactin synthase component E
COOAFFBM_02309	CDS	1176	entC	5.4.4.2	COG1169	Isochorismate synthase EntC
COOAFFBM_02310	CDS	957	fepB		COG4592	Ferrienterobactin-binding periplasmic protein
COOAFFBM_02311	CDS	1251	entS		COG0477	Enterobactin exporter EntS
COOAFFBM_02312	CDS	1005	fepD		COG0609	Ferric enterobactin transport system permease protein FepD
COOAFFBM_02313	CDS	993	fepG		COG4779	Ferric enterobactin transport system permease protein FepG
COOAFFBM_02314	CDS	816	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
COOAFFBM_02315	CDS	1134	fepE		COG3765	Ferric enterobactin transport protein FepE
COOAFFBM_02316	CDS	3882	entF	2.7.7.-	COG1020	Enterobactin synthase component F
COOAFFBM_02317	CDS	219	ybdZ		COG3251	Enterobactin biosynthesis protein YbdZ
COOAFFBM_02318	CDS	1203	fes_1		COG2382	Enterochelin esterase
COOAFFBM_02319	CDS	2241	fepA		COG4771	Ferrienterobactin receptor
COOAFFBM_02320	CDS	630	entD	2.7.8.-	COG2977	Enterobactin synthase component D
COOAFFBM_02321	CDS	693	nanR_2			HTH-type transcriptional repressor NanR
COOAFFBM_02322	CDS	1428	hsrA			putative transport protein HsrA
COOAFFBM_02323	CDS	993	rbsR		COG1609	Ribose operon repressor
COOAFFBM_02324	CDS	930	rbsK_1	2.7.1.15	COG0524	Ribokinase
COOAFFBM_02325	CDS	891	rbsB		COG1879	Ribose import binding protein RbsB
COOAFFBM_02326	CDS	966	rbsC_3		COG1172	Ribose import permease protein RbsC
COOAFFBM_02327	CDS	1506	rbsA	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
COOAFFBM_02328	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
COOAFFBM_02329	CDS	1869	kup			Low affinity potassium transport system protein kup
COOAFFBM_02330	CDS	1497	ravA	3.6.3.-	COG0714	ATPase RavA
COOAFFBM_02331	CDS	1452	viaA		COG2425	Protein ViaA
COOAFFBM_02332	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
COOAFFBM_02333	CDS	459	asnC		COG1522	Regulatory protein AsnC
COOAFFBM_02334	CDS	444	mioC		COG0716	Protein MioC
COOAFFBM_02335	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
COOAFFBM_02336	CDS	624	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
COOAFFBM_02337	CDS	381	atpI		COG3312	ATP synthase protein I
COOAFFBM_02338	CDS	816	atpB		COG0356	ATP synthase subunit a
COOAFFBM_02339	CDS	240	atpE		COG0636	ATP synthase subunit c
COOAFFBM_02340	CDS	471	atpF		COG0711	ATP synthase subunit b
COOAFFBM_02341	CDS	534	atpH		COG0712	ATP synthase subunit delta
COOAFFBM_02342	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
COOAFFBM_02343	CDS	864	atpG		COG0224	ATP synthase gamma chain
COOAFFBM_02344	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
COOAFFBM_02345	CDS	420	atpC		COG0355	ATP synthase epsilon chain
COOAFFBM_02346	CDS	1371	glmU		COG1207	Bifunctional protein GlmU
COOAFFBM_02347	CDS	1830	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
COOAFFBM_02348	CDS	573	fimA_1			Type-1 fimbrial protein, A chain
COOAFFBM_02349	CDS	732	focC_1			Chaperone protein FocC
COOAFFBM_02350	CDS	2523	elfC_1		COG3188	putative outer membrane usher protein ElfC
COOAFFBM_02351	CDS	1074	elfG_1		COG3539	putative fimbrial-like protein ElfG
COOAFFBM_02352	CDS	1041	pstS		COG0226	Phosphate-binding protein PstS
COOAFFBM_02353	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
COOAFFBM_02354	CDS	891	pstA		COG0581	Phosphate transport system permease protein PstA
COOAFFBM_02355	CDS	774	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
COOAFFBM_02356	CDS	726	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
COOAFFBM_02357	CDS	444	bglG_1		COG3711	Cryptic beta-glucoside bgl operon antiterminator
COOAFFBM_02358	CDS	330	bglG_2		COG3711	Cryptic beta-glucoside bgl operon antiterminator
COOAFFBM_02359	CDS	1878	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
COOAFFBM_02360	CDS	1395	bglB	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglB
COOAFFBM_02361	CDS	1617	bglH_1		COG4580	Cryptic outer membrane porin BglH
COOAFFBM_02362	CDS	1170	axe1-6A		COG2382	Carbohydrate acetyl esterase/feruloyl esterase
COOAFFBM_02363	CDS	723	gamA	3.5.99.6	COG0363	putative glucosamine-6-phosphate deaminase 2
COOAFFBM_02364	CDS	588				hypothetical protein
COOAFFBM_02365	CDS	474	cbrB			Inner membrane protein CbrB
COOAFFBM_02366	CDS	666	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
COOAFFBM_02367	CDS	1338	adeP		COG2252	Adenine permease AdeP
COOAFFBM_02368	CDS	567	chrR	1.6.5.2	COG0431	Quinone reductase
COOAFFBM_02369	CDS	750				hypothetical protein
COOAFFBM_02370	CDS	960	yidZ			HTH-type transcriptional regulator YidZ
COOAFFBM_02371	CDS	1176	mdtL			Multidrug resistance protein MdtL
COOAFFBM_02372	CDS	1248	tnaB		COG0814	Low affinity tryptophan permease
COOAFFBM_02373	CDS	1416	tnaA	4.1.99.1	COG3033	Tryptophanase
COOAFFBM_02374	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
COOAFFBM_02375	CDS	1647	yidC			Membrane protein insertase YidC
COOAFFBM_02376	CDS	327	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
COOAFFBM_02377	CDS	141	rpmH		COG0230	50S ribosomal protein L34
COOAFFBM_02378	CDS	1404	dnaA		COG0593	Chromosomal replication initiator protein DnaA
COOAFFBM_02379	CDS	1101	dnaN		COG0592	Beta sliding clamp
COOAFFBM_02380	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
COOAFFBM_02381	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
COOAFFBM_02382	CDS	399				hypothetical protein
COOAFFBM_02383	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
COOAFFBM_02384	CDS	657				hypothetical protein
COOAFFBM_02385	CDS	690	lutR		COG2186	HTH-type transcriptional regulator LutR
COOAFFBM_02386	CDS	879	dgoK1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
COOAFFBM_02387	CDS	618	dgoA	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
COOAFFBM_02388	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
COOAFFBM_02389	CDS	1293	dgoT			D-galactonate transporter
COOAFFBM_02390	CDS	1065	cbrA		COG0644	Protein CbrA
COOAFFBM_02391	CDS	1215				hypothetical protein
COOAFFBM_02392	CDS	261				hypothetical protein
COOAFFBM_02393	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
COOAFFBM_02394	CDS	429	ibpB		COG0071	Small heat shock protein IbpB
COOAFFBM_02395	CDS	1662	aspT_2			Aspartate/alanine antiporter
COOAFFBM_02396	CDS	717	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
COOAFFBM_02397	CDS	1617				hypothetical protein
COOAFFBM_02398	CDS	639	aglB_1	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
COOAFFBM_02399	CDS	177	aglB_2	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
COOAFFBM_02400	CDS	894	rhaR_1			HTH-type transcriptional activator RhaR
COOAFFBM_02401	CDS	1716	yidK		COG4146	putative symporter YidK
COOAFFBM_02402	CDS	1494		3.1.6.-		Ulvan-active sulfatase
COOAFFBM_02403	CDS	450	yidI			Inner membrane protein YidI
COOAFFBM_02404	CDS	348	yidH		COG2149	Inner membrane protein YidH
COOAFFBM_02405	CDS	363	yidG			Inner membrane protein YidG
COOAFFBM_02406	CDS	498				hypothetical protein
COOAFFBM_02407	CDS	1185	emrD			Multidrug resistance protein D
COOAFFBM_02408	CDS	90	tisB			Small toxic protein TisB
COOAFFBM_02409	CDS	99				hypothetical protein
COOAFFBM_02410	CDS	1689	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
COOAFFBM_02411	CDS	291	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
COOAFFBM_02412	CDS	591	uhpA		COG2197	Transcriptional regulatory protein UhpA
COOAFFBM_02413	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
COOAFFBM_02414	CDS	1320	uhpC		COG2271	Membrane sensor protein UhpC
COOAFFBM_02415	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
COOAFFBM_02416	CDS	1767	ade	3.5.4.2	COG1001	Adenine deaminase
COOAFFBM_02417	CDS	1335	adeQ		COG2252	Adenine permease AdeQ
COOAFFBM_02418	CDS	453				hypothetical protein
COOAFFBM_02419	CDS	1233	nepI		COG2814	Purine ribonucleoside efflux pump NepI
COOAFFBM_02420	CDS	294				hypothetical protein
COOAFFBM_02421	CDS	819	nlpA		COG1464	Lipoprotein 28
COOAFFBM_02422	CDS	924	yicL		COG0697	putative inner membrane transporter YicL
COOAFFBM_02423	CDS	1185	setC			Sugar efflux transporter C
COOAFFBM_02424	CDS	147				hypothetical protein
COOAFFBM_02425	CDS	654				hypothetical protein
COOAFFBM_02426	CDS	1191	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
COOAFFBM_02427	CDS	1089	ompF		COG3203	Outer membrane porin F
COOAFFBM_02428	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
COOAFFBM_02429	CDS	1203	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
COOAFFBM_02430	CDS	2613	pepN	3.4.11.2	COG0308	Aminopeptidase N
COOAFFBM_02431	CDS	768	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
COOAFFBM_02432	CDS	792	ssuC_2		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
COOAFFBM_02433	CDS	1146	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
COOAFFBM_02434	CDS	960	ssuA			Putative aliphatic sulfonates-binding protein
COOAFFBM_02435	CDS	576	ssuE	1.5.1.38	COG0431	FMN reductase (NADPH)
COOAFFBM_02436	CDS	543	elfA			Laminin-binding fimbrial subunit ElfA
COOAFFBM_02437	CDS	702	elfD		COG3121	putative fimbrial chaperone protein ElfD
COOAFFBM_02438	CDS	2601	elfC_2		COG3188	putative outer membrane usher protein ElfC
COOAFFBM_02439	CDS	1071	elfG_2		COG3539	putative fimbrial-like protein ElfG
COOAFFBM_02440	CDS	543	ycbU		COG3539	putative fimbrial-like protein YcbU
COOAFFBM_02441	CDS	564	ycbV		COG3539	putative fimbrial-like protein YcbV
COOAFFBM_02442	CDS	690	ycbF		COG3121	putative fimbrial chaperone YcbF
COOAFFBM_02443	CDS	1011	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
COOAFFBM_02444	CDS	543	zapC			Cell division protein ZapC
COOAFFBM_02445	CDS	1110	ycbX		COG0633	putative protein YcbX
COOAFFBM_02446	CDS	2109	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
COOAFFBM_02447	CDS	1908	uup		COG0488	ABC transporter ATP-binding protein uup
COOAFFBM_02448	CDS	1254	pqiA		COG2995	Intermembrane transport protein PqiA
COOAFFBM_02449	CDS	1641	pqiB		COG3008	Intermembrane transport protein PqiB
COOAFFBM_02450	CDS	564	pqiC		COG3009	Intermembrane transport lipoprotein PqiC
COOAFFBM_02451	CDS	168	rmf		COG3130	Ribosome modulation factor
COOAFFBM_02452	CDS	627	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
COOAFFBM_02453	CDS	1761	lon_2	3.4.21.53		Lon protease
COOAFFBM_02454	CDS	453	matP		COG3120	Macrodomain Ter protein
COOAFFBM_02455	CDS	1041	ompA		COG2885	Outer membrane protein A
COOAFFBM_02456	CDS	510	sulA		COG5404	Cell division inhibitor SulA
COOAFFBM_02457	CDS	630	sxy		COG3070	Protein Sxy
COOAFFBM_02458	CDS	2163	yccS		COG1289	Inner membrane protein YccS
COOAFFBM_02459	CDS	447	yccF		COG3304	Inner membrane protein YccF
COOAFFBM_02460	CDS	2055	helD	3.6.4.12	COG0210	DNA helicase IV
COOAFFBM_02461	CDS	459	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
COOAFFBM_02462	CDS	663				hypothetical protein
COOAFFBM_02463	CDS	414	yccU		COG1832	putative protein YccU
COOAFFBM_02464	CDS	318	hspQ		COG3785	Heat shock protein HspQ
COOAFFBM_02465	CDS	1176	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
COOAFFBM_02466	CDS	279	yccX	3.6.1.7	COG1254	Acylphosphatase
COOAFFBM_02467	CDS	330	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
COOAFFBM_02468	CDS	660	yccA		COG0670	Modulator of FtsH protease YccA
COOAFFBM_02469	tRNA	88				tRNA-Ser(tga)
COOAFFBM_02470	CDS	1119	hyaA	1.12.99.6	COG1740	Hydrogenase-1 small chain
COOAFFBM_02471	CDS	1794	hyaB	1.12.99.6	COG0374	Hydrogenase-1 large chain
COOAFFBM_02472	CDS	708	hyaC		COG1969	putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit
COOAFFBM_02473	CDS	588	hyaD	3.4.23.-	COG0680	Hydrogenase 1 maturation protease
COOAFFBM_02474	CDS	399	hyaE			Hydrogenase-1 operon protein HyaE
COOAFFBM_02475	CDS	858				hypothetical protein
COOAFFBM_02476	CDS	1545	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
COOAFFBM_02477	CDS	1137	appB	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
COOAFFBM_02478	CDS	93	appX			Putative cytochrome bd-II ubiquinol oxidase subunit AppX
COOAFFBM_02479	CDS	1299	appA			Periplasmic AppA protein
COOAFFBM_02480	CDS	2181	etk	2.7.10.-	COG0489	Tyrosine-protein kinase etk
COOAFFBM_02481	CDS	447	etp	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Etp
COOAFFBM_02482	CDS	1140				hypothetical protein
COOAFFBM_02483	CDS	2097				hypothetical protein
COOAFFBM_02484	CDS	747				hypothetical protein
COOAFFBM_02485	CDS	645	gfcB_2			putative lipoprotein GfcB
COOAFFBM_02486	CDS	306	gfcA			Threonine-rich inner membrane protein GfcA
COOAFFBM_02487	CDS	213	cspG_1		COG1278	Cold shock-like protein CspG
COOAFFBM_02488	CDS	213	cspG_2		COG1278	Cold shock-like protein CspG
COOAFFBM_02489	CDS	174	gnsA			Protein GnsA
COOAFFBM_02490	CDS	1074	yccM		COG0348	Putative electron transport protein YccM
COOAFFBM_02491	CDS	2700	torS	2.7.13.3	COG0784	Sensor protein TorS
COOAFFBM_02492	CDS	1029	torT		COG1879	Periplasmic protein TorT
COOAFFBM_02493	CDS	693	torR		COG0745	TorCAD operon transcriptional regulatory protein TorR
COOAFFBM_02494	CDS	1173	torC		COG3005	Cytochrome c-type protein TorC
COOAFFBM_02495	CDS	2547	torA	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 1
COOAFFBM_02496	CDS	600	torD		COG3381	Chaperone protein TorD
COOAFFBM_02497	CDS	306	cbpM			Chaperone modulatory protein CbpM
COOAFFBM_02498	CDS	921	cbpA		COG2214	Curved DNA-binding protein
COOAFFBM_02499	CDS	1188				hypothetical protein
COOAFFBM_02500	CDS	1242	agp	3.1.3.10		Glucose-1-phosphatase
COOAFFBM_02501	CDS	228	yccJ			putative protein YccJ
COOAFFBM_02502	CDS	579	wrbA	1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
COOAFFBM_02503	CDS	1311	intQ_1		COG0582	Putative defective protein IntQ
COOAFFBM_02504	CDS	285				hypothetical protein
COOAFFBM_02505	CDS	252				hypothetical protein
COOAFFBM_02506	CDS	234				hypothetical protein
COOAFFBM_02507	CDS	354				hypothetical protein
COOAFFBM_02508	CDS	213				hypothetical protein
COOAFFBM_02509	CDS	627				hypothetical protein
COOAFFBM_02510	CDS	432				hypothetical protein
COOAFFBM_02511	CDS	639				hypothetical protein
COOAFFBM_02512	CDS	897				hypothetical protein
COOAFFBM_02513	CDS	192				hypothetical protein
COOAFFBM_02514	CDS	408				hypothetical protein
COOAFFBM_02515	CDS	726				hypothetical protein
COOAFFBM_02516	CDS	396				hypothetical protein
COOAFFBM_02517	CDS	822				hypothetical protein
COOAFFBM_02518	CDS	348				hypothetical protein
COOAFFBM_02519	CDS	588				hypothetical protein
COOAFFBM_02520	CDS	690				hypothetical protein
COOAFFBM_02521	CDS	951				hypothetical protein
COOAFFBM_02522	CDS	282				hypothetical protein
COOAFFBM_02523	CDS	222				hypothetical protein
COOAFFBM_02524	CDS	213				hypothetical protein
COOAFFBM_02525	CDS	675				hypothetical protein
COOAFFBM_02526	CDS	648				hypothetical protein
COOAFFBM_02527	CDS	954	aplIR	3.1.21.4		Type-2 restriction enzyme AplI
COOAFFBM_02528	CDS	1470				hypothetical protein
COOAFFBM_02529	CDS	714	lexA_3	3.4.21.88		LexA repressor
COOAFFBM_02530	CDS	204				hypothetical protein
COOAFFBM_02531	CDS	378				hypothetical protein
COOAFFBM_02532	CDS	1521				hypothetical protein
COOAFFBM_02533	CDS	972				hypothetical protein
COOAFFBM_02534	CDS	450				hypothetical protein
COOAFFBM_02535	CDS	564				hypothetical protein
COOAFFBM_02536	CDS	195				hypothetical protein
COOAFFBM_02537	CDS	204				hypothetical protein
COOAFFBM_02538	CDS	927				hypothetical protein
COOAFFBM_02539	CDS	549				hypothetical protein
COOAFFBM_02540	CDS	342				hypothetical protein
COOAFFBM_02541	CDS	990				hypothetical protein
COOAFFBM_02542	CDS	816				hypothetical protein
COOAFFBM_02543	CDS	396	rusA_2	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
COOAFFBM_02544	CDS	327	lexA_4	3.4.21.88	COG1974	LexA repressor
COOAFFBM_02545	CDS	654				hypothetical protein
COOAFFBM_02546	CDS	489				hypothetical protein
COOAFFBM_02547	CDS	819				hypothetical protein
COOAFFBM_02548	CDS	225				hypothetical protein
COOAFFBM_02549	CDS	1146				hypothetical protein
COOAFFBM_02550	CDS	558				hypothetical protein
COOAFFBM_02551	CDS	261				hypothetical protein
COOAFFBM_02552	CDS	648			COG2932	putative HTH-type transcriptional regulator
COOAFFBM_02553	CDS	363				hypothetical protein
COOAFFBM_02554	CDS	825				hypothetical protein
COOAFFBM_02555	CDS	537				hypothetical protein
COOAFFBM_02556	CDS	363				hypothetical protein
COOAFFBM_02557	CDS	204				hypothetical protein
COOAFFBM_02558	CDS	240				hypothetical protein
COOAFFBM_02559	CDS	549				hypothetical protein
COOAFFBM_02560	CDS	516				hypothetical protein
COOAFFBM_02561	CDS	759				hypothetical protein
COOAFFBM_02562	CDS	243				hypothetical protein
COOAFFBM_02563	CDS	147				hypothetical protein
COOAFFBM_02564	CDS	237				hypothetical protein
COOAFFBM_02565	CDS	1311	intQ_2		COG0582	Putative defective protein IntQ
COOAFFBM_02566	CDS	726				hypothetical protein
COOAFFBM_02567	CDS	396	yecN		COG3788	Inner membrane protein YecN
COOAFFBM_02568	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
COOAFFBM_02569	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
COOAFFBM_02570	CDS	2430	torZ	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 2
COOAFFBM_02571	CDS	1101	torY		COG3005	Cytochrome c-type protein TorY
COOAFFBM_02572	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
COOAFFBM_02573	CDS	567	yecM		COG3102	Protein YecM
COOAFFBM_02574	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
COOAFFBM_02575	CDS	489				hypothetical protein
COOAFFBM_02576	CDS	393	flhE			Flagellar protein FlhE
COOAFFBM_02577	CDS	2079	flhA_2		COG1298	Flagellar biosynthesis protein FlhA
COOAFFBM_02578	CDS	1149	flhB		COG1377	Flagellar biosynthetic protein FlhB
